time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
320045081	1.0013	1.9494	0.9960
320045281	1.0155	1.8245	1.0162
320045481	1.0453	1.7024	1.0363
320045681	1.0900	1.5854	1.0863
320045881	1.1492	1.4745	1.1451
320046081	1.2218	1.3720	1.2160
320046281	1.3064	1.2796	1.3031
320046481	1.4022	1.1983	1.3974
320046681	1.5075	1.1297	1.4989
320046881	1.6206	1.0748	1.6085
320047081	1.7392	1.0346	1.7294
320047281	1.8624	1.0095	1.8591
320047481	1.9877	1.0001	1.9784
320047681	2.1133	1.0064	2.1130
320047881	2.2365	1.0284	2.2290
320048081	2.3566	1.0657	2.3499
320048281	2.4709	1.1178	2.4587
320048481	2.5779	1.1839	2.5651
320048681	2.6753	1.2625	2.6650
320048881	2.7625	1.3530	2.7399
320049081	2.8377	1.4538	2.8278
320049281	2.8996	1.5632	2.9019
320049481	2.9471	1.6790	2.9358
320049681	2.9799	1.8004	2.9720
320049881	2.9972	1.9249	2.9841
320050081	2.9987	2.0511	2.9954
320050281	2.9845	2.1755	2.9768
320050481	2.9547	2.2976	2.9478
320050681	2.9098	2.4150	2.9051
320050881	2.8508	2.5255	2.8334
320051081	2.7782	2.6280	2.7697
320051281	2.6932	2.7207	2.6803
320051481	2.5973	2.8020	2.5876
320051681	2.4925	2.8703	2.4756
320051881	2.3794	2.9252	2.3668
320052081	2.2603	2.9655	2.2580
320052281	2.1371	2.9906	2.1275
320052481	2.0123	2.9999	2.0026
320052681	1.8867	2.9936	1.8760
320052881	1.7630	2.9715	1.7568
320053081	1.6430	2.9341	1.6343
320053281	1.5291	2.8822	1.5279
320053481	1.4221	2.8161	1.4175
320053681	1.3243	2.7372	1.3152
320053881	1.2371	2.6466	1.2362
320054081	1.1623	2.5462	1.1540
320054281	1.1004	2.4368	1.0984
320054481	1.0527	2.3205	1.0428
320054681	1.0200	2.1991	1.0114
320054881	1.0028	2.0751	1.0049
320055081	1.0013	1.9494	0.9960
320055281	1.0155	1.8245	1.0130
320055481	1.0453	1.7024	1.0428
320055681	1.0900	1.5854	1.0863
320055881	1.1492	1.4745	1.1467
320056081	1.2218	1.3720	1.2160
320056281	1.3064	1.2796	1.2999
320056481	1.4022	1.1983	1.3958
320056681	1.5075	1.1297	1.5045
320056881	1.6206	1.0748	1.5747
320057081	1.7392	1.0346	1.7326
320057281	1.8624	1.0095	1.8511
320057481	1.9877	1.0001	1.9800
320057681	2.1133	1.0064	2.1033
320057881	2.2365	1.0284	2.2258
320058081	2.3566	1.0657	2.3451
320058281	2.4709	1.1178	2.4619
320058481	2.5779	1.1839	2.5675
320058681	2.6753	1.2625	2.6601
320058881	2.7625	1.3530	2.7520
320059081	2.8377	1.4538	2.8366
320059281	2.8996	1.5632	2.8866
320059481	2.9471	1.6790	2.9374
320059681	2.9799	1.8004	2.9704
320059881	2.9972	1.9249	2.9889
320060081	2.9987	2.0511	2.9914
320060281	2.9845	2.1755	2.9720
320060481	2.9547	2.2976	2.9470
320060681	2.9098	2.4150	2.8995
320060881	2.8508	2.5255	2.8390
320061081	2.7782	2.6280	2.7697
320061281	2.6932	2.7207	2.6900
320061481	2.5973	2.8020	2.5836
320061681	2.4925	2.8703	2.4877
320061881	2.3794	2.9252	2.3684
320062081	2.2603	2.9655	2.2596
320062281	2.1371	2.9906	2.1347
320062481	2.0123	2.9999	2.0050
320062681	1.8867	2.9936	1.8760
320062881	1.7630	2.9715	1.7600
320063081	1.6430	2.9341	1.6335
320063281	1.5291	2.8822	1.5207
320063481	1.4221	2.8161	1.4119
320063681	1.3243	2.7372	1.3216
320063881	1.2371	2.6466	1.2322
320064081	1.1623	2.5462	1.1580
320064281	1.1004	2.4368	1.0944
320064481	1.0527	2.3205	1.0468
320064681	1.0200	2.1991	1.0130
320064881	1.0028	2.0751	0.9944
320065081	1.0013	1.9494	0.9960
320065281	1.0155	1.8245	1.0283
320065481	1.0453	1.7024	1.0379
320065681	1.0900	1.5854	1.0887
320065881	1.1492	1.4745	1.1395
320066081	1.2218	1.3720	1.2193
320066281	1.3064	1.2796	1.3031
320066481	1.4022	1.1983	1.3949
320066681	1.5075	1.1297	1.5045
320066881	1.6206	1.0748	1.6133
320067081	1.7392	1.0346	1.7334
320067281	1.8624	1.0095	1.8511
320067481	1.9877	1.0001	1.9816
320067681	2.1133	1.0064	2.1081
320067881	2.2365	1.0284	2.2314
320068081	2.3566	1.0657	2.3467
320068281	2.4709	1.1178	2.4611
320068481	2.5779	1.1839	2.5683
320068681	2.6753	1.2625	2.6666
320068881	2.7625	1.3530	2.7625
320069081	2.8377	1.4538	2.8245
320069281	2.8996	1.5632	2.8930
320069481	2.9471	1.6790	2.9180
320069681	2.9799	1.8004	2.9640
320069881	2.9972	1.9249	2.9841
320070081	2.9987	2.0511	2.9897
320070281	2.9845	2.1755	2.9744
320070481	2.9547	2.2976	2.9495
320070681	2.9098	2.4150	2.9027
320070881	2.8508	2.5255	2.8350
320071081	2.7782	2.6280	2.7633
320071281	2.6932	2.7207	2.6803
320071481	2.5973	2.8020	2.5804
320071681	2.4925	2.8703	2.4845
320071881	2.3794	2.9252	2.3636
320072081	2.2603	2.9655	2.2612
320072281	2.1371	2.9906	2.1339
320072481	2.0123	2.9999	1.9744
320072681	1.8867	2.9936	1.8817
320072881	1.7630	2.9715	1.7576
320073081	1.6430	2.9341	1.6319
320073281	1.5291	2.8822	1.5207
320073481	1.4221	2.8161	1.4159
320073681	1.3243	2.7372	1.3232
320073881	1.2371	2.6466	1.2297
320074081	1.1623	2.5462	1.1532
320074281	1.1004	2.4368	1.0960
320074481	1.0527	2.3205	1.0508
320074681	1.0200	2.1991	1.0114
320074881	1.0028	2.0751	0.9944
320075081	1.0013	1.9494	0.9977
320075281	1.0155	1.8245	1.0138
320075481	1.0453	1.7024	1.0412
320075681	1.0900	1.5854	1.0871
320075881	1.1492	1.4745	1.1411
320076081	1.2218	1.3720	1.2152
320076281	1.3064	1.2796	1.3007
320076481	1.4022	1.1983	1.3982
320076681	1.5075	1.1297	1.5053
320076881	1.6206	1.0748	1.6133
320077081	1.7392	1.0346	1.7358
320077281	1.8624	1.0095	1.8559
320077481	1.9877	1.0001	1.9518
320077681	2.1133	1.0064	2.1130
320077881	2.2365	1.0284	2.2282
320078081	2.3566	1.0657	2.3507
320078281	2.4709	1.1178	2.4651
320078481	2.5779	1.1839	2.5739
320078681	2.6753	1.2625	2.6698
320078881	2.7625	1.3530	2.7601
320079081	2.8377	1.4538	2.8334
320079281	2.8996	1.5632	2.8890
320079481	2.9471	1.6790	2.9382
320079681	2.9799	1.8004	2.9704
320079881	2.9972	1.9249	2.9994
320080081	2.9987	2.0511	2.9922
320080281	2.9845	2.1755	2.9801
320080481	2.9547	2.2976	2.9527
320080681	2.9098	2.4150	2.9027
320080881	2.8508	2.5255	2.8447
320081081	2.7782	2.6280	2.7746
320081281	2.6932	2.7207	2.6884
320081481	2.5973	2.8020	2.5908
320081681	2.4925	2.8703	2.4821
320081881	2.3794	2.9252	2.3700
320082081	2.2603	2.9655	2.2572
320082281	2.1371	2.9906	2.1355
320082481	2.0123	2.9999	2.0010
320082681	1.8867	2.9936	1.8817
320082881	1.7630	2.9715	1.7503
320083081	1.6430	2.9341	1.6367
320083281	1.5291	2.8822	1.5231
320083481	1.4221	2.8161	1.4151
320083681	1.3243	2.7372	1.3160
320083881	1.2371	2.6466	1.2314
320084081	1.1623	2.5462	1.1556
320084281	1.1004	2.4368	1.0702
320084481	1.0527	2.3205	1.0492
320084681	1.0200	2.1991	1.0154
320084881	1.0028	2.0751	0.9993
320085081	1.0013	1.9494	0.9944
320085281	1.0155	1.8245	1.0146
320085481	1.0453	1.7024	1.0371
320085681	1.0900	1.5854	1.0823
320085881	1.1492	1.4745	1.1443
320086081	1.2218	1.3720	1.2160
320086281	1.3064	1.2796	1.3015
320086481	1.4022	1.1983	1.3692
320086681	1.5075	1.1297	1.5062
320086881	1.6206	1.0748	1.6109
320087081	1.7392	1.0346	1.7286
320087281	1.8624	1.0095	1.8551
320087481	1.9877	1.0001	1.9824
320087681	2.1133	1.0064	2.1017
320087881	2.2365	1.0284	2.2234
320088081	2.3566	1.0657	2.3491
320088281	2.4709	1.1178	2.4659
320088481	2.5779	1.1839	2.5659
320088681	2.6753	1.2625	2.6698
320088881	2.7625	1.3530	2.7536
320089081	2.8377	1.4538	2.8294
320089281	2.8996	1.5632	2.9011
320089481	2.9471	1.6790	2.9390
320089681	2.9799	1.8004	2.9728
320089881	2.9972	1.9249	2.9946
320090081	2.9987	2.0511	2.9970
320090281	2.9845	2.1755	2.9728
320090481	2.9547	2.2976	2.9511
320090681	2.9098	2.4150	2.9075
320090881	2.8508	2.5255	2.8342
320091081	2.7782	2.6280	2.7673
320091281	2.6932	2.7207	2.6851
320091481	2.5973	2.8020	2.5844
320091681	2.4925	2.8703	2.4901
320091881	2.3794	2.9252	2.3700
320092081	2.2603	2.9655	2.2556
320092281	2.1371	2.9906	2.1331
320092481	2.0123	2.9999	2.0042
320092681	1.8867	2.9936	1.8809
320092881	1.7630	2.9715	1.7600
320093081	1.6430	2.9341	1.6407
320093281	1.5291	2.8822	1.5231
320093481	1.4221	2.8161	1.4175
320093681	1.3243	2.7372	1.3184
320093881	1.2371	2.6466	1.2330
320094081	1.1623	2.5462	1.1580
320094281	1.1004	2.4368	1.0952
320094481	1.0527	2.3205	1.0484
320094681	1.0200	2.1991	1.0146
320094881	1.0028	2.0751	0.9783
320095081	1.0013	1.9494	0.9960
320095281	1.0155	1.8245	1.0081
320095481	1.0453	1.7024	1.0186
320095681	1.0900	1.5854	1.0621
320095881	1.1492	1.4745	1.1419
320096081	1.2218	1.3720	1.2177
320096281	1.3064	1.2796	1.3031
320096481	1.4022	1.1983	1.4054
320096681	1.5075	1.1297	1.5013
320096881	1.6206	1.0748	1.6093
320097081	1.7392	1.0346	1.7302
320097281	1.8624	1.0095	1.8583
320097481	1.9877	1.0001	1.9776
320097681	2.1133	1.0064	2.1097
320097881	2.2365	1.0284	2.2282
320098081	2.3566	1.0657	2.3442
320098281	2.4709	1.1178	2.4595
320098481	2.5779	1.1839	2.5651
320098681	2.6753	1.2625	2.6593
320098881	2.7625	1.3530	2.7472
320099081	2.8377	1.4538	2.8270
320099281	2.8996	1.5632	2.8842
320099481	2.9471	1.6790	2.9358
320099681	2.9799	1.8004	2.9398
320099881	2.9972	1.9249	2.9849
320100081	2.9987	2.0511	2.9922
320100281	2.9845	2.1755	2.9744
320100481	2.9547	2.2976	2.9519
320100681	2.9098	2.4150	2.8938
320100881	2.8508	2.5255	2.8399
320101081	2.7782	2.6280	2.7633
320101281	2.6932	2.7207	2.6916
320101481	2.5973	2.8020	2.5796
320101681	2.4925	2.8703	2.4821
320101881	2.3794	2.9252	2.3749
320102081	2.2603	2.9655	2.2516
320102281	2.1371	2.9906	2.1275
320102481	2.0123	2.9999	2.0074
320102681	1.8867	2.9936	1.8817
320102881	1.7630	2.9715	1.7536
320103081	1.6430	2.9341	1.6456
320103281	1.5291	2.8822	1.5207
320103481	1.4221	2.8161	1.4167
320103681	1.3243	2.7372	1.3039
320103881	1.2371	2.6466	1.2297
320104081	1.1623	2.5462	1.1548
320104281	1.1004	2.4368	1.0927
320104481	1.0527	2.3205	1.0613
320104681	1.0200	2.1991	1.0146
320104881	1.0028	2.0751	0.9960
320105081	1.0013	1.9494	0.9952
320105281	1.0155	1.8245	1.0097
320105481	1.0453	1.7024	1.0452
320105681	1.0900	1.5854	1.0847
320105881	1.1492	1.4745	1.1435
320106081	1.2218	1.3720	1.2354
320106281	1.3064	1.2796	1.3047
320106481	1.4022	1.1983	1.3966
320106681	1.5075	1.1297	1.5029
320106881	1.6206	1.0748	1.6174
320107081	1.7392	1.0346	1.7092
320107281	1.8624	1.0095	1.8567
320107481	1.9877	1.0001	1.9800
320107681	2.1133	1.0064	2.1105
320107881	2.2365	1.0284	2.2282
320108081	2.3566	1.0657	2.3563
320108281	2.4709	1.1178	2.4651
320108481	2.5779	1.1839	2.5683
320108681	2.6753	1.2625	2.6432
320108881	2.7625	1.3530	2.7480
320109081	2.8377	1.4538	2.8318
320109281	2.8996	1.5632	2.8922
320109481	2.9471	1.6790	2.9349
320109681	2.9799	1.8004	2.9768
320109881	2.9972	1.9249	2.9938
320110081	2.9987	2.0511	2.9970
320110281	2.9845	2.1755	2.9736
320110481	2.9547	2.2976	2.9422
320110681	2.9098	2.4150	2.9035
320110881	2.8508	2.5255	2.8471
320111081	2.7782	2.6280	2.7730
320111281	2.6932	2.7207	2.6867
320111481	2.5973	2.8020	2.5900
320111681	2.4925	2.8703	2.4804
320111881	2.3794	2.9252	2.3741
320112081	2.2603	2.9655	2.2596
320112281	2.1371	2.9906	2.1363
320112481	2.0123	2.9999	2.0074
320112681	1.8867	2.9936	1.8760
320112881	1.7630	2.9715	1.7536
320113081	1.6430	2.9341	1.6359
320113281	1.5291	2.8822	1.5247
320113481	1.4221	2.8161	1.4175
320113681	1.3243	2.7372	1.3216
320113881	1.2371	2.6466	1.2354
320114081	1.1623	2.5462	1.1572
320114281	1.1004	2.4368	1.0968
320114481	1.0527	2.3205	1.0484
320114681	1.0200	2.1991	1.0162
320114881	1.0028	2.0751	0.9960
320115081	1.0013	1.9494	0.9928
320115281	1.0155	1.8245	1.0114
320115481	1.0453	1.7024	1.0396
320115681	1.0900	1.5854	1.0831
320115881	1.1492	1.4745	1.1411
320116081	1.2218	1.3720	1.2168
320116281	1.3064	1.2796	1.3007
320116481	1.4022	1.1983	1.3974
320116681	1.5075	1.1297	1.5005
320116881	1.6206	1.0748	1.6125
320117081	1.7392	1.0346	1.7310
320117281	1.8624	1.0095	1.8519
320117481	1.9877	1.0001	1.9816
320117681	2.1133	1.0064	2.1081
320117881	2.2365	1.0284	2.2258
320118081	2.3566	1.0657	2.3491
320118281	2.4709	1.1178	2.4579
320118481	2.5779	1.1839	2.5675
320118681	2.6753	1.2625	2.6529
320118881	2.7625	1.3530	2.7520
320119081	2.8377	1.4538	2.8334
320119281	2.8996	1.5632	2.8955
320119481	2.9471	1.6790	2.9358
320119681	2.9799	1.8004	2.9704
320119881	2.9972	1.9249	2.9881
320120081	2.9987	2.0511	2.9962
320120281	2.9845	2.1755	2.9768
320120481	2.9547	2.2976	2.9503
320120681	2.9098	2.4150	2.9035
320120881	2.8508	2.5255	2.8447
320121081	2.7782	2.6280	2.7705
320121281	2.6932	2.7207	2.6900
320121481	2.5973	2.8020	2.5908
320121681	2.4925	2.8703	2.4861
