time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
269423022	2.5940	2.9911	2.6142
269423222	2.5317	2.9990	2.5497
269423422	2.4690	2.9990	2.4885
269423622	2.4067	2.9912	2.4305
269423822	2.3458	2.9756	2.3644
269424022	2.2874	2.9526	2.3048
269424222	2.2324	2.9224	2.2467
269424422	2.1816	2.8855	2.1952
269424622	2.1358	2.8425	2.1533
269424822	2.0957	2.7942	2.1162
269425022	2.0620	2.7412	2.0759
269425222	2.0352	2.6844	2.0549
269425422	2.0158	2.6247	2.0308
269425622	2.0040	2.5630	2.0195
269425822	2.0000	2.5003	2.0195
269426022	2.0039	2.4377	2.0195
269426222	2.0156	2.3760	2.0259
269426422	2.0350	2.3163	2.0566
269426622	2.0617	2.2594	2.0807
269426822	2.0953	2.2064	2.1114
269427022	2.1350	2.1582	2.1500
269427222	2.1808	2.1152	2.1968
269427422	2.2315	2.0782	2.2484
269427622	2.2865	2.0479	2.3032
269427822	2.3448	2.0247	2.3692
269428022	2.4056	2.0090	2.4240
269428222	2.4679	2.0010	2.4901
269428422	2.5307	2.0009	2.5481
269428622	2.5930	2.0087	2.6174
269428822	2.6538	2.0243	2.6771
269429022	2.7123	2.0473	2.7319
269429222	2.7673	2.0775	2.7834
269429422	2.8182	2.1143	2.8399
269429622	2.8640	2.1572	2.8914
269429822	2.9041	2.2055	2.9237
269430022	2.9378	2.2585	2.9640
269430222	2.9646	2.3153	2.9849
269430422	2.9841	2.3750	3.0059
269430622	2.9960	2.4366	3.0188
269430822	3.0000	2.4993	3.0204
269431022	2.9961	2.5623	3.0204
269431222	2.9844	2.6240	3.0059
269431422	2.9650	2.6837	2.9817
269431622	2.9383	2.7406	2.9591
269431822	2.9047	2.7936	2.9221
269432022	2.8647	2.8420	2.8850
269432222	2.8190	2.8850	2.8399
269432422	2.7682	2.9220	2.7883
269432622	2.7132	2.9523	2.7335
269432822	2.6548	2.9754	2.6738
269433022	2.5940	2.9911	2.6158
269433222	2.5317	2.9990	2.5465
269433422	2.4690	2.9990	2.4901
269433622	2.4067	2.9912	2.4273
269433822	2.3458	2.9756	2.3628
269434022	2.2874	2.9526	2.2999
269434222	2.2324	2.9224	2.2500
269434422	2.1816	2.8855	2.1968
269434622	2.1358	2.8425	2.1549
269434822	2.0957	2.7942	2.1130
269435022	2.0620	2.7412	2.0823
269435222	2.0352	2.6844	2.0485
269435422	2.0158	2.6247	2.0324
269435622	2.0040	2.5630	2.0227
269435822	2.0000	2.5003	2.0179
269436022	2.0039	2.4377	1.9808
269436222	2.0156	2.3760	2.0324
269436422	2.0350	2.3163	2.0533
269436622	2.0617	2.2594	2.0775
269436822	2.0953	2.2064	2.1130
269437022	2.1350	2.1582	2.1533
269437222	2.1808	2.1152	2.2000
269437422	2.2315	2.0782	2.2532
269437622	2.2865	2.0479	2.3032
269437822	2.3448	2.0247	2.3628
269438022	2.4056	2.0090	2.4208
269438222	2.4679	2.0010	2.4885
269438422	2.5307	2.0009	2.5546
269438622	2.5930	2.0087	2.6110
269438822	2.6538	2.0243	2.6771
269439022	2.7123	2.0473	2.7351
269439222	2.7673	2.0775	2.7899
269439422	2.8182	2.1143	2.8350
269439622	2.8640	2.1572	2.8834
269439822	2.9041	2.2055	2.9237
269440022	2.9378	2.2585	2.9607
269440222	2.9646	2.3153	2.9849
269440422	2.9841	2.3750	3.0042
269440622	2.9960	2.4366	3.0155
269440822	3.0000	2.4993	3.0220
269441022	2.9961	2.5623	3.0188
269441222	2.9844	2.6240	3.0059
269441422	2.9650	2.6837	2.9881
269441622	2.9383	2.7406	2.9591
269441822	2.9047	2.7936	2.9253
269442022	2.8647	2.8420	2.8818
269442222	2.8190	2.8850	2.8399
269442422	2.7682	2.9220	2.7851
269442622	2.7132	2.9523	2.7319
269442822	2.6548	2.9754	2.6755
269443022	2.5940	2.9911	2.6094
269443222	2.5317	2.9990	2.5514
269443422	2.4690	2.9990	2.4917
269443622	2.4067	2.9912	2.4289
269443822	2.3458	2.9756	2.3644
269444022	2.2874	2.9526	2.3032
269444222	2.2324	2.9224	2.2516
269444422	2.1816	2.8855	2.2000
269444622	2.1358	2.8425	2.1452
269444822	2.0957	2.7942	2.1081
269445022	2.0620	2.7412	2.0807
269445222	2.0352	2.6844	2.0501
269445422	2.0158	2.6247	2.0308
269445622	2.0040	2.5630	2.0179
269445822	2.0000	2.5003	2.0147
269446022	2.0039	2.4377	2.0163
269446222	2.0156	2.3760	2.0340
269446422	2.0350	2.3163	2.0533
269446622	2.0617	2.2594	2.0791
269446822	2.0953	2.2064	2.1130
269447022	2.1350	2.1582	2.1500
269447222	2.1808	2.1152	2.1984
269447422	2.2315	2.0782	2.2500
269447622	2.2865	2.0479	2.3048
269447822	2.3448	2.0247	2.3644
269448022	2.4056	2.0090	2.4224
269448222	2.4679	2.0010	2.4869
269448422	2.5307	2.0009	2.5497
269448622	2.5930	2.0087	2.6110
269448822	2.6538	2.0243	2.6722
269449022	2.7123	2.0473	2.7351
269449222	2.7673	2.0775	2.7883
269449422	2.8182	2.1143	2.8399
269449622	2.8640	2.1572	2.8930
269449822	2.9041	2.2055	2.9317
269450022	2.9378	2.2585	2.9656
269450222	2.9646	2.3153	2.9865
269450422	2.9841	2.3750	3.0042
269450622	2.9960	2.4366	3.0220
269450822	3.0000	2.4993	3.0252
269451022	2.9961	2.5623	3.0204
269451222	2.9844	2.6240	3.0091
269451422	2.9650	2.6837	2.9849
269451622	2.9383	2.7406	2.9575
269451822	2.9047	2.7936	2.9221
269452022	2.8647	2.8420	2.8898
269452222	2.8190	2.8850	2.8334
269452422	2.7682	2.9220	2.7899
269452622	2.7132	2.9523	2.7351
269452822	2.6548	2.9754	2.6771
269453022	2.5940	2.9911	2.6110
269453222	2.5317	2.9990	2.5514
269453422	2.4690	2.9990	2.4901
269453622	2.4067	2.9912	2.4240
269453822	2.3458	2.9756	2.3644
269454022	2.2874	2.9526	2.3096
269454222	2.2324	2.9224	2.2516
269454422	2.1816	2.8855	2.2000
269454622	2.1358	2.8425	2.1500
269454822	2.0957	2.7942	2.1162
269455022	2.0620	2.7412	2.0807
269455222	2.0352	2.6844	2.0533
269455422	2.0158	2.6247	2.0308
269455622	2.0040	2.5630	2.0195
269455822	2.0000	2.5003	2.0147
269456022	2.0039	2.4377	2.0211
269456222	2.0156	2.3760	2.0372
269456422	2.0350	2.3163	2.0533
269456622	2.0617	2.2594	2.0807
269456822	2.0953	2.2064	2.1114
269457022	2.1350	2.1582	2.1549
269457222	2.1808	2.1152	2.1952
269457422	2.2315	2.0782	2.2500
269457622	2.2865	2.0479	2.3015
269457822	2.3448	2.0247	2.3644
269458022	2.4056	2.0090	2.4192
269458222	2.4679	2.0010	2.4933
269458422	2.5307	2.0009	2.5465
269458622	2.5930	2.0087	2.6110
269458822	2.6538	2.0243	2.6755
269459022	2.7123	2.0473	2.7351
269459222	2.7673	2.0775	2.7867
269459422	2.8182	2.1143	2.8399
269459622	2.8640	2.1572	2.8818
269459822	2.9041	2.2055	2.9285
269460022	2.9378	2.2585	2.9640
269460222	2.9646	2.3153	2.9881
269460422	2.9841	2.3750	3.0075
269460622	2.9960	2.4366	3.0188
269460822	3.0000	2.4993	3.0284
269461022	2.9961	2.5623	3.0204
269461222	2.9844	2.6240	3.0107
269461422	2.9650	2.6837	2.9849
269461622	2.9383	2.7406	2.9575
269461822	2.9047	2.7936	2.9301
269462022	2.8647	2.8420	2.8882
269462222	2.8190	2.8850	2.8350
269462422	2.7682	2.9220	2.7851
269462622	2.7132	2.9523	2.7367
269462822	2.6548	2.9754	2.6722
269463022	2.5940	2.9911	2.6110
269463222	2.5317	2.9990	2.5449
269463422	2.4690	2.9990	2.4933
269463622	2.4067	2.9912	2.4224
269463822	2.3458	2.9756	2.3660
269464022	2.2874	2.9526	2.3015
269464222	2.2324	2.9224	2.2516
269464422	2.1816	2.8855	2.1952
269464622	2.1358	2.8425	2.1533
269464822	2.0957	2.7942	2.1130
269465022	2.0620	2.7412	2.0791
269465222	2.0352	2.6844	2.0485
269465422	2.0158	2.6247	2.0292
269465622	2.0040	2.5630	2.0211
269465822	2.0000	2.5003	2.0163
269466022	2.0039	2.4377	2.0195
269466222	2.0156	2.3760	2.0292
269466422	2.0350	2.3163	2.0517
269466622	2.0617	2.2594	2.0840
269466822	2.0953	2.2064	2.1097
269467022	2.1350	2.1582	2.1565
269467222	2.1808	2.1152	2.1984
269467422	2.2315	2.0782	2.2484
269467622	2.2865	2.0479	2.3032
269467822	2.3448	2.0247	2.3628
269468022	2.4056	2.0090	2.4240
269468222	2.4679	2.0010	2.4885
269468422	2.5307	2.0009	2.5481
269468622	2.5930	2.0087	2.6142
269468822	2.6538	2.0243	2.6738
269469022	2.7123	2.0473	2.7351
269469222	2.7673	2.0775	2.7883
269469422	2.8182	2.1143	2.8415
269469622	2.8640	2.1572	2.8866
269469822	2.9041	2.2055	2.9269
269470022	2.9378	2.2585	2.9623
269470222	2.9646	2.3153	2.9914
269470422	2.9841	2.3750	3.0123
